通番	文番号	単語	標準ペルシア語１	意味１	標準ペルシア語２	意味２	標準ペルシア語3	意味３	標準ペルシア語４	意味４
2557	1027	به	به	・・・に						
2576	1028	به	به	・・・に						
2598	1030	به	به	・・・に						
4702	1031	به	به	・・・に						
2637	1032	به	به	・・・に						
2675	1035	به	به	・・・に						
2692	1041	به	به	・・・に						
2712	1046	به	به	・・・に						
4791	1055	به	به	・・・に						
6182	1055	به	به	・・・に						
2801	2004	به	به	・・・に						
2803	2004	به	به	・・・に						
2807	2004	به	به	・・・に						
4811	2005	به	به	・・・に						
5869	2005	به	به	・・・に						
2861	2010	به	به	・・・に						
4848	2012	به	به	・・・に						
2908	2016	به	به	・・・に						
5890	2016	به	به	・・・に						
4895	2024	به	به	・・・に						
3042	2036	به	به	・・・に						
4949	2040	به	به	・・・に						
3082	2041	به	به	・・・に						
4963	2042	به	به	・・・に						
3098	2043	به	به	・・・に						
5935	2046	به	به	・・・に						
3127	2047	به	به	・・・に						
4996	2049	به	به	・・・に						
3179	2052	به	به	・・・に						
6217	2061	به	به	・・・に						
3306	2064	به	به	・・・に						
3308	2064	به	به	・・・に						
5079	3004	به	به	・・・に						
5081	3004	به	به	・・・に						
5083	3004	به	به	・・・に						
3419	3022	به	به	・・・に						
5141	3023	به	به	・・・に						
3505	3038	به	به	・・・に						
3535	3044	به	به	・・・に						
3551	3046	به	به	・・・に						
3553	3047	به	به	・・・に						
3569	4002	به	به	・・・に						
5211	4003	به	به	・・・に						
6005	4003	به	به	・・・に						
5288	4023	به	به	・・・に						
5300	4024	به	به	・・・に						
3726	4025	به	به	・・・に						
5334	4029	به	به	・・・に						
3785	4033	به	به	・・・に						
3791	4033	به	به	・・・に						
5338	4034	به	به	・・・に						
3831	4041	به	به	・・・に						
3833	4041	به	به	・・・に						
3842	5001	به	به	・・・に						
3860	5004	به	به	・・・に						
5365	5007	به	به	・・・に						
5373	5011	به	به	・・・に						
6041	5012	به	به	・・・に						
3882	5013	به	به	・・・に						
3895	5016	به	به	・・・に						
6047	5020	به	به	・・・に						
3907	5021	به	به	・・・に						
3921	5024	به	به	・・・に						
3935	5028	به	به	・・・に						
5415	5029	به	به	・・・に						
3944	5031	به	به	・・・に						
5435	5040	به	به	・・・に						
3998	5043	به	به	・・・に						
4022	5049	به	به	・・・に						
4024	5049	به	به	・・・に						
5460	5050	به	به	・・・に						
4038	5052	به	به	・・・に						
5472	5057	به	به	・・・に						
4089	5063	به	به	・・・に						
6085	5063	به	به	・・・に						
5515	5065	به	به	・・・に						
5527	5067	به	به	・・・に						
4203	6015	به	به	・・・に						
4216	6016	به	به	・・・に						
6111	6018	به	به	・・・に						
5618	8004	به	به	・・・に						
5620	8004	به	به	・・・に						
4311	8005	به	به	・・・に						
4428	9014	به	به	・・・に						
5688	9014	به	به	・・・に						
5692	9017	به	به	・・・に						
5696	9018	به	به	・・・に						
6147	9019	به	به	・・・に						
4489	9024	به	به	・・・に						
4512	10002	به	به	・・・に						
4516	10002	به	به	・・・に						
4529	10004	به	به	・・・に						
6255	10004	به	به	・・・に						
4561	10010	به	به	・・・に						
4567	10012	به	به	・・・に						
4586	10015	به	به	・・・に						
4588	10015	به	به	・・・に						
4592	10016	به	به	・・・に						
1893	6004	بو	بو	におい						
4155	6005	بو	بو	におい						
1318	4012	است	بودن	・・・である						
5752	10005	است	بودن	・・・である						
2319	10007	است	بودن	・・・である						
5781	10014	است	بودن	・・・である						
4664	1020	ام	بودن	・・・である						
5171	3031	باشم	بودن	・・・である						
2730	1051	باشه	بودن	・・・である						
3970	5036	باشه	بودن	・・・である						
2081	8008	باشه	بودن	・・・である						
2822	2006	باشین	بودن	・・・である						
3	1001	بود	بودن	・・・である						
12	1002	بود	بودن	・・・である						
6310	1005	بود	بودن	・・・である						
2597	1030	بود	بودن	・・・である						
423	2001	بود	بودن	・・・である						
432	2002	بود	بودن	・・・である						
438	2003	بود	بودن	・・・である						
442	2003	بود	بودن	・・・である						
6303	2050	بود	بودن	・・・である						
3250	2059	بود	بودن	・・・である						
5037	2059	بود	بودن	・・・である						
869	2061	بود	بودن	・・・である						
5958	2061	بود	بودن	・・・である						
936	2065	بود	بودن	・・・である						
941	2065	بود	بودن	・・・である						
945	2065	بود	بودن	・・・である						
948	3001	بود	بودن	・・・である						
953	3002	بود	بودن	・・・である						
6033	5002	بود	بودن	・・・である						
1756	5046	بود	بودن	・・・である						
6228	5046	بود	بودن	・・・である						
1809	5055	بود	بودن	・・・である						
1812	5055	بود	بودن	・・・である						
1830	5060	بود	بودن	・・・である						
1832	5060	بود	بودن	・・・である						
6230	5060	بود	بودن	・・・である						
6084	5063	بود	بودن	・・・である						
5512	5065	بود	بودن	・・・である						
1880	6002	بود	بودن	・・・である						
1986	7001	بود	بودن	・・・である						
2043	8001	بود	بودن	・・・である						
2078	8007	بود	بودن	・・・である						
2128	9001	بود	بودن	・・・である						
5661	9004	بود	بودن	・・・である						
5663	9004	بود	بودن	・・・である						
2273	10001	بود	بودن	・・・である						
3178	2052	بودم	بودن	・・・である						
6175	1030	بودن	بودن	・・・である						
2764	1055	بودن	بودن	・・・である						
4288	8001	بودن	بودن	・・・である						
6263	1033	بودند	بودن	・・・である						
6265	1055	بودند	بودن	・・・である						
970	3003	بودند	بودن	・・・である						
2785	1056	بوده	بودن	・・・である						
1253	4001	بوده	بودن	・・・である						
6236	6005	بوده	بودن	・・・である						
5	1001	نبود	بودن	・・・である						
9	1001	نبود	بودن	・・・である						
6179	1034	نبود	بودن	・・・である						
425	2001	نبود	بودن	・・・である						
429	2001	نبود	بودن	・・・である						
950	3001	نبود	بودن	・・・である						
1988	7001	نبود	بودن	・・・である						
2275	10001	نبود	بودن	・・・である						
5008	2052	نبودن	بودن	・・・である						
4215	6016	نی	بودن	・・・である						
4221	6016	نی	بودن	・・・である						
4224	6017	نی	بودن	・・・である						
2898	2015	نیست	بودن	・・・である						
2371	10015	نیست	بودن	・・・である						
3018	2032	نیستو	بودن	・・・である						
3607	4009	نیستی	بودن	・・・である						
3629	4015	نیستی	بودن	・・・である						
3593	4005	نیسی	بودن	・・・である						
644	2028	هست	بودن	・・・である						
3541	3044	هست	بودن	・・・である						
5565	6015	هست	بودن	・・・である						
1981	6018	هست	بودن	・・・である						
1656	5027	هستم	بودن	・・・である						
5627	8005	هستم	بودن	・・・である						
2980	2026	هستین	بودن	・・・である						
634	2027	هستین	بودن	・・・である						
3458	3028	بی	بی	・・・なしに						
3478	3033	بی	بی	・・・なしに						
5278	4022	بی	بی	・・・なしに						
5294	4024	بی	بی	・・・なしに						
5298	4024	بی	بی	・・・なしに						
5314	4027	بی	بی	・・・なしに						
5328	4029	بی	بی	・・・なしに						
5332	4029	بی	بی	・・・なしに						
5387	5015	بیابان	بیابان	荒野						
5358	5004	بیابون	بیابان	荒野						
3490	3033	بیچاره	بیچاره	哀れな						
1011	3011	بیداد	بیداد	圧迫						
168	1023	بیرون	بیرون	外で						
392	1053	بیرون	بیرون	外で						
3233	2058	بیرون	بیرون	外で						
914	2062	بیرون	بیرون	外で						
1224	3042	بیرون	بیرون	外で						
1495	4037	بیرون	بیرون	外で						
1499	4038	بیرون	بیرون	外で						
2492	1014	بیشه ای	بیشه	茂み						
5854	1055	بیل	بیل	くわ						
5757	10005	بین	بین	・・・の間に						
6044	5012	پا	پا	足						
5410	5026	پا	پا	足						
5420	5030	پا	پا	足						
6073	5049	پا	پا	足						
4033	5050	پا	پا	足						
4124	5067	پا	پا	足						
4854	2013	پا	پا	足						
4976	2046	پا	پا	足						
4978	2046	پا	پا	足						
5936	2046	پا	پا	足						
5875	2008	پای	پا	足						
5885	2015	پای	پا	足						
6186	2015	پای	پا	足						
5894	2019	پای	پا	足						
6200	2031	پای	پا	足						
5656	9002	پادشاه	پادشاه	王						
3293	2062	پاره	پاره	断片						
3444	3026	پاره	پاره	断片						
4868	2016	پاک	پاک	清潔な						
3503	3038	پالاپالا	پالاپال	〈古〉騒ぎ						
938	2065	پایین	پایین	下に						
1188	3039	پایین	پایین	下に						
4067	5059	پایین	پایین	下に						
1842	5061	پایین	پایین	下に						
1870	5066	پایین	پایین	下に						
4198	6014	پایین	پایین	下に						
1958	6015	پایین	پایین	下に						
6309	1005	پخته	پختن	料理する						
3492	3034	پدری	پدر	父						
2805	2004	پر	پر	満ちた						
5923	2027	پر	پر	満ちた						
3062	2039	پر	پر	満ちた						
3108	2045	پر	پر	満ちた						
3147	2050	پر	پر	満ちた						
3408	3019	پر	پر	満ちた						
3433	3024	پر	پر	満ちた						
5147	3024	پر	پر	満ちた						
3462	3028	پر	پر	満ちた						
6007	4016	پر	پر	満ちた						
2304	10005	پرسید	پرسیدن	尋ねる						
3237	2058	پرید	پریدن	跳ぶ						
1139	3033	پرید	پریدن	跳ぶ						
4328	8010	پرید	پریدن	跳ぶ						
2096	8011	پرید	پریدن	跳ぶ						
214	1029	پریدن	پریدن	跳ぶ						
3504	3038	پریدن	پریدن	跳ぶ						
1223	3042	پریدند	پریدن	跳ぶ						
2896	2015	پس	پس	そこで						
458	2004	پستون	پستان	乳房						
4912	2027	پستون	پستان	乳房						
3391	3015	پ	پسر	息子						
5477	5058	پشت	پشت	・・・背						
6080	5060	پشت	پشت	・・・背						
2578	1029	پشت	پشت	・・・の後ろに						
5815	1030	پشم	پشم	羊毛						
4252	7004	پشه	پشه	蚊						
4261	7006	پشه	پشه	蚊						
5605	7006	پشه	پشه	蚊						
4273	7007	پشه	پشه	蚊						
4280	7008	پشه	پشه	蚊						
4712	1032	پلوتیکی	پلتیک	詐欺						
5077	3003	پنج	پنج	5						
5061	2062	پنج	پنجه	かぎつめ						
3153	2050	پنیر	پنیر	チーズ						
5984	3024	پنیر	پنیر	チーズ						
5157	3027	پنیر	پنیر	チーズ						
3435	3024	پهلو	پهلو	側						
2202	9013	پوست	پوست	皮膚						
5711	9021	پوست	پوست	皮膚						
2648	1033	پیدا	پیدا	見える						
2652	1033	پیدا	پیدا	見える						
6178	1034	پیدا	پیدا	見える						
5006	2051	پیدا	پیدا	見える						
4243	7003	پیدا	پیدا	見える						
5354	5003	پیر	پیر	年老いた						
6039	5009	پیر	پیر	年老いた						
5382	5014	پیر	پیر	年老いた						
5251	4016	پیرن	پیراهن	シャツ						
4625	1005	پیرزن	پیرزن	老女						
5805	1015	پیرزن	پیرزن	老女						
5807	1023	پیرزن	پیرزن	老女						
4736	1036	پیرزن	پیرزن	老女						
4751	1042	پیرزن	پیرزن	老女						
4766	1047	پیرزن	پیرزن	老女						
2742	1053	پیرزن	پیرزن	老女						
2755	1054	پیرزن	پیرزن	老女						
4788	1055	پیرزن	پیرزن	老女						
4724	1033	پیرزنه	پیرزن	老女						
2413	1002	پیرزنی	پیرزن	老女						
4641	1007	پیرهزن	پیرزن	老女						
5694	9017	پیش	پیش	前へ						
124	1014	تا	تا	・・・まで						
162	1022	تا	تا	・・・まで						
254	1030	تا	تا	・・・まで						
308	1035	تا	تا	・・・まで						
331	1041	تا	تا	・・・まで						
354	1046	تا	تا	・・・まで						
3355	3010	تا	تا	・・・まで						
1355	4017	تا	تا	・・・まで						
3844	5002	تا	تا	・・・まで						
3867	5008	تا	تا	・・・まで						
3878	5011	تا	تا	・・・まで						
3909	5022	تا	تا	・・・まで						
4064	5059	تا	تا	・・・まで						
1853	5063	تا	تا	・・・まで						
4106	5065	تا	تا	・・・まで						
4326	8010	تا	تا	・・・まで						
4460	9020	تا	تا	・・・まで						
4465	9021	تا	تا	・・・まで						
5715	9021	تا	تا	・・・まで						
4798	2002	تا	تا	・・・個						
5072	3002	تا	تا	・・・個						
3319	3003	تا	تا	・・・個						
5076	3003	تا	تا	・・・個						
5078	3003	تا	تا	・・・個						
6002	3044	تا	تا	・・・個						
6010	4016	تا	تا	・・・個						
5659	9003	تا	تا	・・・個						
5736	10002	تا	تا	・・・個						
4783	1055	تار	تار	たて糸						
476	2006	تازگی ها	تازگی	新鮮さ						
4646	1011	تازه	تازه	新鮮な						
4674	1027	تازه	تازه	新鮮な						
4167	6006	تبر	تبر	斧						
6098	6006	تبر	تبر	斧						
6241	6016	تبری	تبر	斧						
707	2038	تاپتاپ	تپتپ	ぱたぱたいう音						
3100	2043	تاپتاپ	تپتپ	ぱたぱたいう音						
3104	2044	تاپتاپ	تپتپ	ぱたぱたいう音						
3402	3017	تاپتاپ	تپتپ	ぱたぱたいう音						
5131	3018	تاپتاپ	تپتپ	ぱたぱたいう音						
5270	4022	تُپ تُپ	تپتپ	ぱたぱたいう音						
5304	4027	تُپ تُپ	تپتپ	ぱたぱたいう音						
1803	5054	ترسید	ترسیدن	恐れる						
1952	6014	میترسه	ترسیدن	恐れる						
3170	2051	تعریف	تعریف	定義						
698	2036	تق	تق	がたんという音						
699	2036	تق	تق	がたんという音						
5748	10004	تقسیم	تقسیم	分割						
5759	10005	تقسیم	تقسیم	分割						
4569	10013	تقسیم	تقسیم	分割						
5771	10013	تقسیم	تقسیم	分割						
5184	3039	تُک	تک	先						
5613	8002	تیکه	تکه	一片						
5448	5046	تلاشی	تلاش	努力						
5621	8004	تله	تله	わな						
4333	8010	تله	تله	わな						
5641	8010	تله	تله	わな						
4356	8013	تله	تله	わな						
4358	8014	تله	تله	わな						
874	2061	تماشای	تماشا	見物						
5044	2059	تمام	تمام	すべての						
3255	2060	تمام	تمام	すべての						
6219	2062	تمام	تمام	すべての						
3495	3035	تمام	تمام	すべての						
3827	4040	تمام	تمام	すべての						
4497	9026	تمام	تمام	すべての						
3843	5001	تنگ	تنگ	きつく						
5366	5007	تنگ	تنگ	きつく						
3639	4016	تندور	تنور	パン焼きがま						
2644	1033	ته	ته	底						
2950	2022	ته	ته	底						
2904	2016	تهیه	تهیه	準備						
6278	2050	تهیه	تهیه	準備						
2451	1006	تو	تو	・・・の中に						
4691	1031	تو	تو	・・・の中に						
5640	8010	تو	تو	・・・の中に						
5546	6006	تو	تو	・・・の中に						
6304	6016	تو	تو	・・・の中に						
5572	6017	تو	تو	・・・の中に						
215	1029	تو	تو	・・・の中に						
2616	1030	تو	تو	・・・の中に						
4769	1051	تو	تو	・・・の中に						
4855	2013	تو	تو	・・・の中に						
537	2014	تو	تو	・・・の中に						
2935	2020	تو	تو	・・・の中に						
4882	2021	تو	تو	・・・の中に						
2953	2022	تو	تو	・・・の中に						
3015	2032	تو	تو	・・・の中に						
3238	2058	تو	تو	・・・の中に						
3286	2062	تو	تو	・・・の中に						
5067	2062	تو	تو	・・・の中に						
3316	3002	تو	تو	・・・の中に						
5109	3010	تو	تو	・・・の中に						
3442	3026	تو	تو	・・・の中に						
3484	3033	تو	تو	・・・の中に						
3515	3039	تو	تو	・・・の中に						
5188	3042	تو	تو	・・・の中に						
3529	3043	تو	تو	・・・の中に						
3638	4016	تو	تو	・・・の中に						
5345	4037	تو	تو	・・・の中に						
5386	5015	تو	تو	・・・の中に						
5388	5015	تو	تو	・・・の中に						
3919	5024	تو	تو	・・・の中に						
3948	5032	تو	تو	・・・の中に						
5425	5033	تو	تو	・・・の中に						
4227	6018	تو	تو	・・・の中に						
4239	7003	تو	تو	・・・の中に						
4249	7004	تو	تو	・・・の中に						
2469	1009	تو	تو	お前						
101	1011	تو	تو	お前						
2511	1015	تو	تو	お前						
4652	1018	تو	تو	お前						
2535	1020	تو	تو	お前						
2573	1027	تو	تو	お前						
5821	1031	تو	تو	お前						
2681	1036	تو	تو	お前						
2717	1047	تو	تو	お前						
3000	2031	تو	تو	お前						
4960	2042	تو	تو	お前						
4962	2042	تو	تو	お前						
5932	2042	تو	تو	お前						
4993	2049	تو	تو	お前						
4995	2049	تو	تو	お前						
5940	2049	تو	تو	お前						
5140	3023	تو	تو	お前						
3592	4005	تو	تو	お前						
3605	4009	تو	تو	お前						
3628	4015	تو	تو	お前						
3656	4019	تو	تو	お前						
5265	4019	تو	تو	お前						
5293	4024	تو	تو	お前						
5297	4024	تو	تو	お前						
6022	4024	تو	تو	お前						
5327	4029	تو	تو	お前						
5331	4029	تو	تو	お前						
6030	4029	تو	تو	お前						
1679	5032	تو	تو	お前						
5543	6005	تو	تو	お前						
4173	6008	تو	تو	お前						
6312	6016	تو	تو	お前						
5577	6018	تو	تو	お前						
5708	9020	تو	تو	お前						
4550	10009	تو	تو	お前						
2353	10013	تو	تو	お前						
4721	1033	توی	تو	・・・の中に						
2422	1003	توی	تو	・・・の中に						
3858	5004	توی	تو	・・・の中に						
5384	5015	توی	تو	・・・の中に						
3917	5024	توی	تو	・・・の中に						
4016	5048	توی	تو	・・・の中に						
4133	6002	توی	تو	・・・の中に						
1341	4016	هو	تو	・・・の中に						
6052	5022	توانائی	توانایی	力						
1661	5027	توانائی	توانایی	力						
3274	2062	بتونه	توانستن	・・・できる						
2291	10003	توانستند	توانستن	・・・できる						
2374	10015	میتوانید	توانستن	・・・できる						
1747	5044	نتونست	توانستن	・・・できる						
5628	8005	نمیتونم	توانستن	・・・できる						
4055	5057	نمیتونه	توانستن	・・・できる						
6225	5012	تور	تور	網						
5380	5013	تور	تور	網						
5398	5021	تور	تور	網						
5413	5028	تور	تور	網						
3199	2054	تیز	تیز	鋭い						
3201	2055	تیز	تیز	鋭い						
3202	2055	تیز	تیز	鋭い						
5151	3025	تیز	تیز	鋭い						
3454	3027	تیز	تیز	鋭い						
5162	3031	تیز	تیز	鋭い						
3770	4030	جا	جا	場所						
4564	10011	جا	جا	場所						
5615	8002	جایی	جا	場所						
4390	9007	جرأت	جرأت	勇気						
4026	5049	جریان	جریان	流れ						
885	2062	جلو	جلو	前方に						
902	2062	جلو	جلو	前方に						
3777	4031	جلوی	جلو	前方に						
3779	4031	جلوی	جلو	前方に						
6292	9012	جلوی	جلو	前方に						
2436	1005	جمع	جمع	集合						
2752	1054	جمع	جمع	集合						
3499	3037	جمع	جمع	集合						
4034	5051	جمع	جمع	集合						
4036	5052	جمع	جمع	集合						
4957	2041	جنگ	جنگ	戦争						
5931	2042	جنگ	جنگ	戦争						
4985	2047	جنگ	جنگ	戦争						
5939	2049	جنگ	جنگ	戦争						
5014	2055	جنگ	جنگ	戦争						
6281	2061	جنگ	جنگ	戦争						
5137	3022	جنگ	جنگ	戦争						
3509	3038	جنگ	جنگ	戦争						
6019	4023	جنگ	جنگ	戦争						
6021	4024	جنگ	جنگ	戦争						
6029	4029	جنگ	جنگ	戦争						
5360	5004	جنگل	جنگل	森						
5385	5015	جنگل	جنگل	森						
3920	5024	جنگل	جنگل	森						
5412	5027	جنگل	جنگل	森						
3949	5032	جنگل	جنگل	森						
4017	5048	جنگل	جنگل	森						
1944	6012	جنگل	جنگل	森						
4240	7003	جنگل	جنگل	森						
4250	7004	جنگل	جنگل	森						
4517	10002	جنگل	جنگل	森						
6162	10005	جنگل	جنگل	森						
4544	10007	جنگل	جنگل	森						
4134	6002	جنگلی	جنگل	森						
6127	9001	جنگلی	جنگل	森						
4505	10001	جنگلی	جنگل	森						
4974	2046	میجم	جهیدن	جستن1						
6032	5002	جوان	جوان	若い						
2756	1055	جور	جور	種類						
4007	5046	جور	جور	種類						
5823	1032	جوری	جور	種類						
5754	10005	جوری	جور	種類						
5768	10013	جوری	جور	種類						
2482	1011	چاق	چاق	太った						
4660	1020	چاق	چاق	太った						
5810	1027	چاق	چاق	太った						
5991	3031	چل	چاک	裂け目						
636	2027	چرا	چرا	なぜ						
2989	2029	چرا	چرا	なぜ						
2997	2031	چرا	چرا	なぜ						
3327	3004	چرا	چرا	放牧						
3373	3011	چرا	چرا	放牧						
3487	3033	چشه	چشم	目						
5176	3033	چشه	چشم	目						
4154	6005	چقدر	چقدر	いかほど						
2484	1011	چله	چله	40日間						
5812	1027	چله	چله	40日間						
4642	1008	چند	چند	いくら						
4683	1030	چند	چند	いくら						
4685	1030	چند	چند	いくら						
3521	3041	کندن	چندان	それほど						
4469	9021	چنگ	چنگ	かぎつめ						
4713	1032	چه	چه	なに						
4893	2024	چه	چه	なに						
3189	2052	چه	چه	なに						
5504	5064	چه	چه	なに						
5513	5065	چه	چه	なに						
5753	10005	چه	چه	なに						
5767	10013	چه	چه	なに						
2878	2013	چه	چه	どうして						
3876	5010	چه	چه	どうして						
6143	9018	چه	چه	どうして						
992	3007	چی	چه	なに						
5443	5041	چی	چه	なに						
6146	9019	چی	چه	なに						
3897	5017	چی	چه	どうして						
5071	3002	چهار	چهار	4						
3318	3003	چهار	چهار	4						
5075	3003	چهار	چهار	4						
5796	1003	چوب	چوب	木材						
5623	8005	چون	چون	・・・なので						
6174	1030	چیده	چیدن	摘む						
4941	2036	چیز	چیز	もの						
4965	2043	چیز	چیز	もの						
4780	1055	چیز هائی	چیز	もの						
5632	8009	چیزه	چیز	もの						
5637	8010	چیزه	چیز	もの						
4768	1051	چیزی	چیزی	ある物						
6060	5040	حاضر	حاضر	準備できた						
3992	5042	حاضر	حاضر	準備できた						
3871	5009	حال	حال	状態						
5374	5011	حال	حال	状態						
5762	10010	حال	حال	状態						
3781	4032	حالا	حالا	今						
2352	10013	حالا	حالا	今						
3386	3014	انگوره	حبهانگور	ヘッベ・アングール						
446	2003	حبه انگور	حبهانگور	ヘッベ・アングール						
2819	2006	حبه انگور	حبهانگور	ヘッベ・アングール						
4842	2011	حبه انگور	حبهانگور	ヘッベ・アングール						
4874	2018	حبه انگور	حبهانگور	ヘッベ・アングール						
5915	2025	حبه انگور	حبهانگور	ヘッベ・アングール						
5921	2026	حبه انگور	حبهانگور	ヘッベ・アングール						
3366	3010	حبه انگور	حبهانگور	ヘッベ・アングール						
5124	3013	حبه انگور	حبهانگور	ヘッベ・アングール						
6137	9014	حرص	حرص	貪欲						
3506	3038	حساب	حساب	計算						
5652	9001	حساب	حساب	考慮						
6011	4019	حسابِ	حساب	計算						
3772	4030	حسابی	حسابی	計算の						
2906	2016	حنا	حنا	ヘンナ染料						
553	2016	حنایی	حنایی	あずき色の						
4613	1002	حیاط	حیاط	中庭						
3631	4016	حیاط	حیاط	中庭						
1553	5006	حیرانی	حیرت	驚き						
1669	5029	حیله ای	حیله	策略						
5501	5063	حیله ای	حیله	策略						
6232	5067	حیله گر	حیله گر	ずるい						
4409	9011	حیله گر	حیله گر	ずるい						
6166	10014	حیله گر	حیله گر	ずるい						
6168	10014	حیلهگری	حیله گر	ずるい						
3857	5004	حیوان	حیوان	動物						
5411	5027	حیوان	حیوان	動物						
6165	10014	حیوان	حیوان	動物						
6121	7005	حیوون	حیوان	動物						
4945	2039	خاک	خاک	土						
4970	2045	خاک	خاک	土						
3409	3019	خاک	خاک	土						
5238	4013	خاک	خاک	土						
2412	1002	خاله	خاله	母方のおば						
4624	1005	خاله	خاله	母方のおば						
4640	1007	خاله	خاله	母方のおば						
5804	1015	خاله	خاله	母方のおば						
5806	1023	خاله	خاله	母方のおば						
4723	1033	خاله	خاله	母方のおば						
2741	1053	خاله	خاله	母方のおば						
2754	1054	خاله	خاله	母方のおば						
4232	7002	خاله خرسه	خاله-خرسه	迷惑な						
2659	1033	خالی	خالی	空の						
3955	5032	خانه ای	خانه	家						
3466	3030	خونه	خانه	家						
1269	4002	خونه	خانه	家						
4630	1005	خونه	خانه	家						
4679	1028	خونه	خانه	家						
2588	1029	خونه	خانه	家						
2594	1030	خونه	خانه	家						
2617	1030	خونه	خانه	家						
4813	2006	خونه	خانه	家						
4834	2010	خونه	خانه	家						
6269	2024	خونه	خانه	家						
3164	2050	خونه	خانه	家						
3226	2057	خونه	خانه	家						
4611	1001	خدا	خدا	神						
5867	2001	خدای	خدا	神						
5237	4013	خورده	خرده	断片						
5583	7003	خرس	خرس	熊						
2001	7004	خرس	خرس	熊						
5269	4020	خرسه	خرس	熊						
3680	4022	خرسه	خرس	熊						
4246	7004	خرسه	خرس	熊						
5589	7005	خرسه	خرس	熊						
5601	7006	خرسه	خرس	熊						
5744	10003	خرگوش	خرگوش	うさぎ						
2326	10009	خرگوش	خرگوش	うさぎ						
4596	10017	خرگوش	خرگوش	うさぎ						
2255	9023	خریدی	خریدن	買う						
1293	4006	میخره	خریدن	買う						
1322	4013	میخره	خریدن	買う						
878	2062	خلاصه	خلاصه	要約						
1578	5013	خلاصه	خلاصه	要約						
1664	5028	خلاصه	خلاصه	要約						
1754	5046	خلاصه	خلاصه	要約						
1773	5049	خلاصه	خلاصه	要約						
2162	9008	خلاصه	خلاصه	要約						
4427	9014	بخوابونه	خواباندن	寝かしつける						
4256	7005	میخوابم	خوابیدن	眠る						
2011	7004	میخوابن	خوابیدن	眠る						
4808	2005	خواست	خواستن	望む						
5423	5033	خواستی	خواستن	望む						
3438	3025	میخواد	خواستن	望む						
3470	3031	میخواد	خواستن	望む						
3991	5041	میخواد	خواستن	望む						
4434	9014	میخواد	خواستن	望む						
3325	3004	میخواست	خواستن	望む						
2624	1031	میخوام	خواستن	望む						
4440	9015	میخوای	خواستن	望む						
4706	1031	میخوایم	خواستن	望む						
73	1009	خوب	خوب	良い						
2480	1011	خوب	خوب	良い						
2481	1011	خوب	خوب	良い						
2491	1013	خوب	خوب	良い						
4666	1021	خوب	خوب	良い						
2548	1023	خوب	خوب	良い						
5808	1027	خوب	خوب	良い						
5809	1027	خوب	خوب	良い						
4054	5057	خوب	خوب	良い						
5724	9022	خوب	خوب	良い						
4546	10007	خوبی	خوب	良い						
5225	4006	خوده	خود	自身						
103	1011	بخور	خوردن	食べる						
2537	1020	بخور	خوردن	食べる						
2575	1027	بخور	خوردن	食べる						
3660	4019	بخور	خوردن	食べる						
2072	8006	بخور	خوردن	食べる						
78	1009	بخورم	خوردن	食べる						
92	1011	بخورم	خوردن	食べる						
180	1025	بخورم	خوردن	食べる						
5630	8005	بخورم	خوردن	食べる						
2160	9007	بخوره	خوردن	食べる						
5377	5012	بخوری	خوردن	食べる						
5397	5020	بخوری	خوردن	食べる						
2378	10015	بخورید	خوردن	食べる						
3784	4032	بخوریم	خوردن	食べる						
4575	10013	بخوریم	خوردن	食べる						
5195	3045	بخورین	خوردن	食べる						
3364	3010	خورد	خوردن	食べる						
1583	5013	خورد	خوردن	食べる						
1626	5021	خورد	خوردن	食べる						
1666	5028	خورد	خوردن	食べる						
3969	5035	خورد	خوردن	食べる						
2105	8011	خورد	خوردن	食べる						
2146	9004	خورد	خوردن	食べる						
2177	9009	خورد	خوردن	食べる						
2194	9011	خورد	خوردن	食べる						
2267	9025	خورد	خوردن	食べる						
2570	1027	خوردم	خوردن	食べる						
3132	2049	خوردم	خوردن	食べる						
3136	2049	خوردم	خوردن	食べる						
3422	3023	خوردم	خوردن	食べる						
3760	4029	خوردم	خوردن	食べる						
3763	4029	خوردم	خوردن	食べる						
404	1054	خوردند	خوردن	食べる						
3074	2040	خورده	خوردن	食べる						
3078	2040	خورده	خوردن	食べる						
5929	2041	خورده	خوردن	食べる						
3119	2046	خورده	خوردن	食べる						
3123	2046	خورده	خوردن	食べる						
5937	2047	خورده	خوردن	食べる						
800	2053	خورده	خوردن	食べる						
855	2059	خورده	خوردن	食べる						
1058	3021	خورده	خوردن	食べる						
1062	3021	خورده	خوردن	食べる						
5170	3031	خورده	خوردن	食べる						
3655	4019	خورده	خوردن	食べる						
3703	4023	خورده	خوردن	食べる						
3706	4023	خورده	خوردن	食べる						
3754	4028	خورده	خوردن	食べる						
3757	4028	خورده	خوردن	食べる						
4389	9006	خورده	خوردن	食べる						
2208	9014	خورده	خوردن	食べる						
5709	9020	خوردی	خوردن	食べる						
178	1025	میخوام	خوردن	食べる						
4445	9016	میخوام	خوردن	食べる						
1346	4016	میخور	خوردن	食べる						
4730	1035	میخورد	خوردن	食べる						
1369	4019	میخوره	خوردن	食べる						
1447	4033	میخوره	خوردن	食べる						
1450	4033	میخوره	خوردن	食べる						
2468	1008	نخوردم	خوردن	食べる						
3086	2042	نخوردم	خوردن	食べる						
3090	2042	نخوردم	خوردن	食べる						
